Title,Skills,Location,Company,Content,URL
Data Engineer,"AWS, MySQL, NoSQL, PostgreSQL, Python, RDBMS, SQL, pandas, numpy, MatLab, Docker",Beograd,CIF,"Data Engineer
About Us
_We are a leading provider of software solutions for risk management, credit
rating and scoring as well as regulatory reporting in south-eastern Europe.
Join us as we embark on a number of exciting projects with global fintech
leader and digital banking pioneer N26. We look forward to welcoming you on
board for a new and exciting opportunity in partnership with N26!_
We are looking for an experienced and enthusiastic Data Engineer to join our
Data team in Belgrade.
 Responsibilities
   Support Data Science and Risk Modeling teams in data collection, transformation and data transfering processes
   Analyze client requests related to data access layer among various products
   Communicate with clients and support them on the process of data validation
   Proactive approach with suggesting new ideas in order to automatize or improve current processes
   Collaborating with product and solution architect teams as well as other technical Teams (software engineers and developers), and interpret data insights in a clear way to team and stakeholders
   Participating in trainings and workshops
 Qualifications
   Bachelor’s Degree with major in following fields: Mathematics, Computer Science, Engineering
   At least 1 year of relevant work experience
   Excellent understanding of RDBMS concepts and hands on experience with following ones: PostgreSQL, MySQL, SQL
   Design and maintenance of pipelines on various products/projects
   Experience in fintech/banking industry
   You have a good understanding of the cloud environments and already have operational knowledge of Amazon AWS
   Experience working in an Agile environment
   Experience with CI/CD
   Adaptability to wide technology stack
   Personal integrity is mandatory
   Meeting deadlines in a fast-paced and ever-changing environment
   Fluent in Serbian and English
 Nice to have
   Master or PhD degree in following fields: Mathematics, Computer Science, Engineering
   Development skills in at least one (ideally both) of the following: Python (pandas, numpy), MatLab
   Experience and understanding of NoSQL concepts
   Experience with Docker
   A2 or higher level of German language
 Benefits and compensations
   Top of the class Team to work with and learn from
   Full-time employment
   Competitive salary
   Private healthcare
   Trainings and Workshops
   Flexible working hours and remote work policy",https://www.joberty.rs/posao/data-engineer/cif/8055
IT System Engineer/IT Generalist,"AWS, Git, Ansible, Jenkins, Terraform",Novi Sad,3Lateral,"WHAT MAKES US EPIC?
At the core of Epic’s success are talented, passionate people. Epic prides
itself on creating a collaborative, welcoming, and creative environment.
Whether it’s building award-winning games or crafting engine technology that
enables others to make visually stunning interactive experiences, we’re always
innovating.
Being Epic means being a part of a team that continually strives to do right
by our community and users. We’re constantly innovating to raise the bar of
engine and game development.
 What makes us Epic?
At the core of Epic’s success are talented, passionate people. Epic prides
itself on creating a collaborative, welcoming, and creative environment.
Whether it’s building award-winning games or crafting engine technology that
enables others to make visually stunning interactive experiences, we’re always
innovating.
Being Epic means being a part of a team that continually strives to do right
by our community and users. We’re constantly innovating to raise the bar of
engine and game development.
 Engineering at Epic
 What we do
Create and maintain a proactive and stable IT environment as well as provide
IT support to our Epic people. You will be empowered to shape processes that
deliver optimized IT service across our business. Work with emerging
technologies while enabling IT success for everyone. By being deeply embedded
as a local IT for the 3Lateral/Cubic Motion team (DHI initiative), you would
evaluate initiative business needs and determine how it can be supported by
leveraging software, hardware or infrastructure and make sure that they are in
alignment with the rest of the company.
 What you’ll do
We’re looking for an IT Generalist who will be responsible for designing,
deploying and managing the next generation of 4D volumetric capture systems,
network and compute solutions via integration of a broad spectrum of
individual hardware and software technologies. What we are doing bears
similarity to High-Performance Computing (data acquisition from large number
of machine vision cameras, data management, high-bandwidth low latency
network, cloud and hyper-converged computing, petabytes of storage, GPU
enabled compute systems for data processing, mix of Windows and Linux compute
clusters)
In this position, you'll be asked to partner with cross-functional groups
across the organization including various global hardware and software
development, product management and research team members, vendors, VARs and
more. You will be participating in all aspects of the DHI IT infrastructure
life cycle development and solutions, including gathering of requirements,
planning, implementation, testing, quality assurance and documentation. We are
looking for individuals who are innovative, organized and have exceptional
communication skills.
 In this role, you will
   Work on the architecture design, configuration, deployment and ongoing management of global HPC data acquisition and data processing infrastructure (including operating systems, software defined storage solutions and networking devices) with a focus on improving the solution by integrating it with cloud services (AWS) 
   Serve as a solution developer and problem solver 
   Identify and implement new services and opportunities for improving automation & orchestration across the DHI infrastructure 
   Help the task Lead and Project managers in planning. 
   Work with programming and technical staff in all aspects of daily work in order to understand the needs of stakeholders over the broad range of IT services 
   Perform other job-related duties as assigned
 What we’re looking for
   Advanced knowledge of IT infrastructure concepts and paradigms including storage, compute, networking, virtualization, backup and hardware
   Insights in private and hybrid cloud concepts and IaaC business logic with automation as engineering vector 
   Knowledge of modern big data solutions, data services and data security concepts
   Experience with AWS
   Experience with Git, Ansible, Jenkins and Terraform 
   Must be able to make sound decisions based on incomplete information, while under pressure, and while maintaining project focus.
   Ability to challenge the status quo for established work procedures and practices, with the goal of improving efficiency and effectiveness.
   Ability to work in a dynamic and demanding environment and make decisions quickly
   Bachelor’s degree in IT Engineering, Computer Science or Mathematics,
   Five years of experience in one of the following fields: information technology, system administration, or high-performance computing.
 Nice to have skills [optional]
   Experience with Linux Container solutions (Docker), orchestration tools (Kubernetes) 
   Experience with VMWare VSphere / Netapp Ontap 
   Experience with Packer
   Familiarity with system administration, monitoring, and maintenance of secure HPC environments
   Familiarity with project management fundamentals (e.g., work plans, schedules, resource plans, and status reports) and Agile methodologies 
   Familiarity with Artificial Intelligence technologies, such as general machine learning algorithms and neural networks
   Knowledge of gaming industry terms and standards is a plus
   Knowledge of a computer vision concepts is a strong plus
 Being a part of 3Lateral team
Our mission is to evolve through exploring abstract landscapes of art and
science, exciting new technologies and, most importantly, through nurturing
continuous multi-disciplinary communication and company values among our team
members. Our talented and devoted individuals are all gathered around the same
vision of creating and constantly improving technology that allows creation of
high-fidelity replicas of human appearance and motion with special focus on
real time and usable across all digital mediums.
In order to ensure a supportive and collaborative environment we:
   Enable professional long-term career development through continuous education and specialization
   Work with exciting new technologies and ambitious, industry changing, projects
   Attendance at the leading seminars and conferences from the industry
   Sustain personal goals through family-oriented work regulations
   Empower autonomy of thinking and acting
   Pleasant working atmosphere in our cozy offices with friendly and well-minded individuals
   Work from home model during pandemic
We are looking for new team members who can inspire us and are willing to give
us a chance to inspire them, contribute to their ideas, skills and knowledge.
With joint forces with our mother company Epic Games we are continually
developing the state of the art in Unreal Engine as a leading team for
creation of next generation virtual humans and creatures.",https://www.joberty.rs/posao/it-system-engineer-it-generalist/3lateral-/8053
Producer,"Jira, Shotgrid",Novi Sad,3Lateral,"WHAT MAKES US EPIC?
At the core of Epic’s success are talented, passionate people. Epic prides
itself on creating a collaborative, welcoming, and creative environment.
Whether it’s building award-winning games or crafting engine technology that
enables others to make visually stunning interactive experiences, we’re always
innovating.
Being Epic means being a part of a team that continually strives to do right
by our community and users. We’re constantly innovating to raise the bar of
engine and game development.
 What We Do
Whether it’s driving a vision from start to finish or collaborating with teams
to inspire and deliver projects of Epic quality, Epic’s production teams take
pride in consistently delivering world-class products and experiences.
 What You'll Do
Producer to work predominantly in the domain of Epic special projects, on
production of digital humans or other assets for internal Epic projects of
higher complexity. This opportunity is ideal for someone who has worked in a
innovative environment, and has previous experience in the industry.
 In This Role You Will
   Partner with a team working on internal Epic projects that falls outside the scope of regular projects, whose goal is to demonstrate new technologies, products and services, and setting quality standards up to a new level.
   Work with various teams across Epic on defining project requirements, scope and objectives. 
   Be responsible for resources allocation, project planning, tracking and reporting, ensuring timely completion.
   Take care of team coordination. 
   Provide ongoing risk assessments with respect to team health, process bottlenecks, the schedule, and overall quality.
   Understanding and managing priorities and dependencies across various technical processes, teams and pipelines.
   Scheduling and attending meetings related to the project, taking notes and identifying action points.
   Work with multidisciplinary teams of engineers, artists, animators, riggers, researchers on workflows establishment.
   Working closely with HR to deliver regular reviews to support the professional growth of team members
 What We're Looking For
   3+ yrs of production experience. 
   Previous experience working with Shotgrid, Jira.
   An understanding of asset creation workflows and pipelines.
   Willingness to learn new processes and technologies.
   Ability to adapt and be effective in new situations within a highly dynamic environment.
   Have strong time management skills with the ability to focus and prioritize in a dynamic work environment.
   Effective communication, and interpersonal skills capable of maintaining strong relationships.
   Must be detail oriented and display strong problem solving skills.
   Strong organizational, and multitasking skills, attention to detail.
   Ability to understand and communicate technical information in both written and oral forms.
   A positive attitude, self-driven, proactive, and team player.
   Someone who is user-focused, passionate, scrappy, solutions-focused, and innovative. These traits equal success at Epic and influence everything we do
 Nice To Have Skills
   An understanding of visual effects / game development / software development / tv & film production workflows and pipelines
 Being a part of 3Lateral team
Our mission is to evolve through exploring abstract landscapes of art and
science, exciting new technologies and, most importantly, through nurturing
continuous multi-disciplinary communication and company values among our team
members. Our talented and devoted individuals are all gathered around the same
vision of creating and constantly improving technology that allows creation of
high-fidelity replicas of human appearance and motion with special focus on
real time and usable across all digital mediums.
In order to ensure a supportive and collaborative environment we:
   Enable professional long-term career development through continuous education and specialization
   Work with exciting new technologies and ambitious, industry changing, projects
   Attendance at the leading seminars and conferences from the industry
   Sustain personal goals through family-oriented work regulations
   Empower autonomy of thinking and acting
   Pleasant working atmosphere in our cozy offices with friendly and well-minded individuals
   Work from home model during pandemic
We are looking for new team members who can inspire us and are willing to give
us a chance to inspire them, contribute to their ideas, skills and knowledge.
With joint forces with our mother company Epic Games we are continually
developing the state of the art in Unreal Engine as a leading team for
creation of next generation virtual humans and creatures.",https://www.joberty.rs/posao/producer/3lateral-/8052
Software Engineer,"Linux, Golang, Elixir",Remote,Semaphore,"Semaphore is a leader in hosted continuous integration and deployment, with
over 50,000 developers relying on Semaphore to test and deploy their code. Our
mission is to help teams ship their software faster and progressively by
providing a robust and scalable platform for software delivery.
Our platform provides continuous delivery services for all mainstream
programming languages as well as native support for building and shipping
Docker containers. We aim to deliver the easiest to use and fastest CI/CD
service. We work in small, highly effective teams, so every team member is
vital to the success of the company.
We're looking for collaborative, detail-oriented people who are ready for a
challenge. In this role, you'll have the opportunity to take significant
ownership of technical projects that will drive the success of the overall
business. A strong candidate will bring solid product and technical acumen,
combined with the ability to move fast (and fix things).
We are passionate about providing a remote, flexible and supportive work
culture. Collaboration is in our DNA.
Examples of problems you will be solving
   Implementing new Semaphore features
   Improving the internal and external APIs of Semaphore
   Automating the release process, monitoring, and solving scalability issues
   Contributing to and collaborating on Open Source software
   Optimizing performance and scalability of Semaphore
 Requirements
   You have 2+ years of professional experience.
   You have experience with shipping services into production and maintaining their quality.
   You have experience with developing database-backed web applications.
   You are proficient in one or more high-level languages.
   You are self-managed and capable of making effective decisions.
   You care about building maintainable, efficient, clean code.
   You speak and write well. We’re a distributed team so, we are extra mindful about communication.
   You are willing to master Golang and/or Elixir, our primary languages for writing Semaphore.
   You are willing to master TDD/BDD practices for implementing new features.
   You are willing to master how to take responsibility for projects end-to-end from idea to completion.
   You are willing to master Linux and the command line.
 Benefits
   The impact of working on a product which competing on a global market.
   Join a small team of around 20 full-time people who love what they do.
   A healthy 40-hour work week, friendly and supportive work environment.
   Competitive salary.
   Company retreats.
   Space to learn continuously and choose the tools and equipment for your job
   Paid trips to conferences and books of your choice.
   Interact with developers that use Semaphore and talk about the latest and greatest way to develop and ship software.
   Paid membership at a fitness club of your choice
   
Semaphore is an equal opportunity employer. Consistent with our mission of
serving a diverse and global audience, we value a diverse workforce and
inclusive culture that reflects it. We encourage applications from all
qualified individuals without regard to race, color, religion, gender, sexual
orientation, gender identity or expression, age, national origin, marital
status, disability, and veteran status.",https://www.joberty.rs/posao/software-engineer/semaphore/8022
Junior Software Engineer,"Linux, Golang, Elixir",Remote,Semaphore,"Semaphore is a leader in hosted continuous integration and deployment, with
over 50,000 developers relying on Semaphore to test and deploy their code. Our
mission is to help teams ship their software faster and with more confidence
by providing a robust and scalable platform for software delivery.
Our platform provides continuous delivery services for all mainstream
programming languages as well as native support for building and shipping
Docker containers. We aim to deliver the easiest to use and fastest CI/CD
service. We work in small highly effective teams, so every team member is
vital to the success of the company.
We're looking for collaborative, detail-oriented people who are ready for a
challenge. In this role, you will have the opportunity to take significant
ownership of technical projects that will drive the success of the overall
business. A strong candidate will bring solid product and technical acumen,
combined with the ability to move fast (and fix things).
We are passionate about providing a remote, flexible and supportive work
culture. Collaboration is in our DNA.
Who we are looking for?
We’re looking for talented, hard-working Computing Science graduates to join
us and help with developing new features on Semaphore. We offer full training
and support, so every graduate is encouraged to apply.
While a large part of the Jr Software Engineering role is development work,
this role is designed as a graduate position where you will be exposed to the
overall project life cycle, including requirements capture, design,
implementation, and testing.
Examples of problems you will be solving
   Implementing new Semaphore features
   Improving the internal and external APIs of Semaphore
   Automating the release process, monitoring, and solving scalability issues
   Contributing to and collaborating on Open Source software
   Optimizing performance and scalability of Semaphore
 Requirements
   You have a degree in BSc Computing Science or equivalent experience.
   You are willing to master how to ship services into production and maintain their quality.
   You are proficient in one or more high-level languages, but more importantly, you have an excellent general understanding of programming concepts.
   You care about building maintainable, efficient, clean code.
   You speak and write well in English. We’re a distributed team so we’re extra mindful about communication.
   You are willing to master how to develop database-backed web applications.
   You are willing to master Elixir and/or Golang, our primary languages for writing Semaphore.
   You are willing to master TDD/BDD practices for implementing new features.
   You are willing to master Linux and the command line.
 Benefits
   The impact of working on a product that's competing on a global market.
   Join a small team of around 20 full-time people who love what they do.
   A healthy 40-hour work week, friendly and supportive work environment.
   Competitive salary.
   Company retreats.
   Space to learn continuously and choose the tools and equipment for your job
   Paid trips to conferences and books of your choice.
   Interact with developers that use Semaphore and talk about the latest and prominent way to develop and ship software.
   Paid membership at a fitness club of your choice
Semaphore is an equal opportunity employer. Consistent with our mission of
serving a diverse and global audience, we value a diverse workforce and
inclusive culture which reflects that. We encourage applications from all
qualified individuals without regard to race, color, religion, gender, sexual
orientation, gender identity or expression, age, national origin, marital
status, disability, and veteran status",https://www.joberty.rs/posao/junior-software-engineer/semaphore/8021
Senior Software Engineer - Enterprise,"Linux, Golang, Elixir",Remote,Semaphore,"Semaphore is a leader in hosted continuous integration and deployment,
with over 50,000 developers relying on Semaphore to test and deploy their
code. Our mission is to help teams ship their software faster and with more
confidence by providing a robust and scalable platform for software delivery.
Our platform provides continuous delivery services for all mainstream
programming languages as well as native support for building and shipping
Docker containers. We aim to deliver the easiest to use and fastest CI/CD
service. We work in small highly effective teams, so every team member is
vital to the success of the company.
We're looking for collaborative, detail-oriented people who are ready for a
challenge. In this role, you'll have the opportunity to take significant
ownership of technical projects that will drive the success of the overall
business. A strong candidate will bring solid product and technical acumen,
combined with the ability to move fast (and fix things).
We are passionate about providing a remote, flexible and supportive work
culture. Collaboration is in our DNA.
Examples of problems you'll be solving
   Implementing new Semaphore features
   Improving the internal and external APIs of Semaphore
   Automating the release process, monitoring, and solving scalability issues
   Contributing to and collaborating on Open Source software
   Optimizing performance and scalability of Semaphore
   Leading and mentoring a distributed team of engineers
   Designing and maintaining the release pipeline for our enterprise offer
 Requirements
   You have 5+ years of professional experience.
   You have experience with shipping services into production, and maintaining their quality.
   You have experience with shipping on-premises enterprise software.
   You have experience with developing database-backed web applications.
   You are proficient in one or more high-level languages.
   You are self-managed and capable of making effective decisions.
   You care about building maintainable, efficient, clean code.
   You speak and write well. We’re a distributed team so we’re extra mindful about communication.
   You are willing to master Golang and/or Elixir, our primary languages for writing Semaphore.
   You are proficient with following TDD/BDD practices for implementing new features.
   You have experience with taking responsibility for projects end-to-end from idea to completion.
   You have experience with Linux and the command line.
 Benefits
Working at Semaphore
   The impact of working on a product that's competing on a global market.
   Join a small team of around 30 full-time people who love what they do.
   A healthy 40-hour work week, friendly and supportive work environment.
   Competitive salary.
   Company retreats.
   Space to learn continuously and choose the tools and equipment for your job.
   Paid trips to conferences and books of your choice.
   Interact with developers that use Semaphore and talk about the latest and greatest way to develop and ship software.
   Paid membership at a fitness club of your choice.
Semaphore is an equal opportunity employer. Consistent with our mission of
serving a diverse and global audience, we value a diverse workforce and
inclusive culture which reflects that. We encourage applications from all
qualified individuals without regard to race, colour, religion, gender, sexual
orientation, gender identity or expression, age, national origin, marital
status, disability, and veteran status.",https://www.joberty.rs/posao/senior-software-engineer---enterprise/semaphore/8020
Account Manager / Customer Success Manager,Salesforce,Remote,Semaphore,"Semaphore, a leading software delivery service with a global customer base, is
looking for an Account Manager/ Customer Success Manager to join our team.
The Customer Success team at Semaphore plays a pivotal role in our
relationships with customers. Every day, developers from companies ranging
from SMBs to the likes of Salesforce, Confluent, and BetterUp rely on
Semaphore to test and deliver their software. Our mission is to keep them
happy by maximizing the value they receive from our solutions. That's where
you step in.
We are looking for a relationship-focused and sales-driven peer who will be
the face of Semaphore to our customers, as well as a customer advocate within
the company. You will be responsible for engaging, growing, and retaining a
part of Semaphore's customer base.
This is a full-time and remote position.
Responsibilities
   Build relationships with key employees among customers through regular video calls.
   Develop a high-level understanding of product features and the subject matter of CI/CD.
   Own retention and upsell by ensuring the customers continue to get the most value out of our product.
   Be the voice of the customer: get product feedback and relay it to relevant stakeholders within the company.
   Resolve problems and handle complaints on time.
   Collaborate with internal teams (product, marketing, and sales) to deliver a best-in-class customer experience.
 Requirements
   3+ years of proven experience in comparable customer relations or sales roles, preferably in the SaaS industry.
   Experience working in the creative or tech industry where change is the norm.
   Track record of achieving and exceeding renewal, retention, and growth targets.
   Excellent communication and negotiation skills.
   Being a natural ""people person"" who quickly establishes rapport and builds relationships, either in-person or online.
   Strong team player who brings solutions to the table when facing challenges.
   Ability to understand concepts related to software development and cloud computing.
   Growth mindset, accompanied by self-motivated and a ""can do"" attitude.
   Strong organizational and follow up skills.
   A collaborative worker who is able to empathize with internal team members and customers' needs.
   Experience taking an active part in the evolution of team processes.
   Solid knowledge of CRM software such as Salesforce.
 Benefits
Working at Semaphore
   The impact of working on a product that's competing on a global market.
   Join a small team of around 30 full-time people who love what they do.
   A healthy 40-hour work week, friendly and supportive work environment.
   Competitive salary.
   Company retreats.
   Space to learn continuously and choose the tools and equipment for your job.
   Paid trips to conferences and books of your choice.
   Interact with developers that use Semaphore and talk about the latest and greatest way to develop and ship software.
   Paid membership at a fitness club of your choice.
Semaphore is an equal opportunity employer. Consistent with our mission of
serving a diverse and global audience, we value a diverse workforce and
inclusive culture which reflects that. We encourage applications from all
qualified individuals without regard to race, colour, religion, gender, sexual
orientation, gender identity or expression, age, national origin, marital
status, disability, and veteran status.",https://www.joberty.rs/posao/account-manager---customer-success-manager/semaphore/8017
Project Manager,"SCRUM, Kanban, Scrumban, XP, FDD",Remote,Semaphore,"Semaphore is a leader in continuous integration and deployment, with over
50,000 developers using the product to test and deploy their code. Our mission
is to help teams ship their software faster and with more confidence by
providing a robust and scalable platform for software delivery.
  
Semaphore is looking for a Project Manager to join the world-class
engineering team. In this role, you will help bring exciting new product
features to market and drive the success of the overall business.
  
You will attend design and engineering calls, keep track of next steps, track
day-to-day execution across projects, detect when things get off track and
provide reports as needed.
  
We are passionate about providing a remote, flexible and supportive work
culture. Collaboration is in our DNA. You will join a diverse and
international team distributed across Europe and the Americas. At the moment
we require people to work from a location of at least 4 hrs overlap with 9 - 5
pm CET.
Responsibilities
   Responsible for defining project goals and plans and ensuring everything is well-documented.
   Contributes to driving the technical concept and to get the agreement on schedule, estimations and risks within R&D.
   Responsible for monitoring the complete performances of all disciplines in the project and defining corrective measures if deviations from the plan occur.
   Responsible for the tracking and analysis of the project progress (time, quality, costs) and for the reporting with the valid tool and process set.
   Assist product management with defining release scope and managing releases and feature requests.
   Act as the single point of contact for all projects, provide status updates and reports for all stakeholders.
 Requirements
   5+ years of experience in coordinating a development team.
   Must have at least 2 years of experience in ‘Full software life cycle’ projects.
   Must have at least 2 years experience in using agile framework methodologies (SCRUM, Kanban, Scrumban, XP, FDD or similar).
   Must have excellent English written and oral communication skills, and be able to speak comfortably to a variety of audiences.
   Strong interpersonal skills (including client and conflict management) are required.
   Project Management experience on large/enterprise applications is preferred.
   Previous experience as a software developer or systems/business analyst is a plus.
   Experience working with off-site project team members is strongly preferred.
 Benefits
Working at Semaphore
   The impact of working on a product that's competing on a global market.
   Join a small team of around 30 full-time people who love what they do.
   A healthy 40-hour work week, friendly and supportive work environment.
   Competitive salary.
   Company retreats.
   Space to learn continuously and choose the tools and equipment for your job.
   Paid trips to conferences and books of your choice.
   Interact with developers that use Semaphore and talk about the latest and greatest way to develop and ship software.
   Paid membership at a fitness club of your choice.
Semaphore is an equal opportunity employer. Consistent with our mission of
serving a diverse and global audience, we value a diverse workforce and
inclusive culture which reflects that. We encourage applications from all
qualified individuals without regard to race, colour, religion, gender, sexual
orientation, gender identity or expression, age, national origin, marital
status, disability, and veteran status.",https://www.joberty.rs/posao/project-manager/semaphore/8016
"Software Engineer - EMEA, Remote","Kubernetes, AWS, REST, Linux, Docker, Java",Beograd,GoDaddy,"At GoDaddy the future of work looks different for each team. Some teams work
in the office full-time, others have a hybrid arrangement (they work remotely
some days and in the office some days) and some work entirely remotely.
This is a remote position, so you’ll be working remotely from your home. Once
we can safely travel, you may occasionally visit a GoDaddy office to meet with
your team for events or offsites.
 What you'll get to do...
This position is within the Domains Engineering org, which is the core to the
company. We develop cloud-native API systems that perform at high throughput,
and respond in sub-millisecond latencies, leveraging Kubernetes, Docker, Go,
REST and AWS.  
  
We are looking for a passionate Software Engineer who has a keen understanding
of building reliable software solutions at scale to be part of a team that is
building new capabilities from the ground up. You will have an active role in
developing and building software that drives the world’s largest domain name
registrar and web hosting provider. This role will be core to building and
maintaining applications for a highly successful part of our domains
organization. You will have a direct and visible impact on the lives of
millions of small business owners around the world!
   Design and drive the implementation of the tech stack for the backend platform team with an emphasis on performance, high quality, real-time monitoring, and scalability
   Write great code, innovate, and deliver scalable systems using open-source and cloud based solutions fronted with resilient REST interfaces
   Understand all components of the stack in detail to build an end-to-end user experience that is sure to delight users of the platform
   Build extensive monitoring and remediation infrastructure to validate and maintain uptime of services and ensure performance
   Participate in design and code reviews, automated testing, continuous integration and deployment
   Work closely with multiple engineering and operations teams across the company to engineer cutting-edge solutions that allow GoDaddy to answer challenging questions across multiple platforms
 Your experience should include...
   University degree in Computer Science or relevant technical field
   Experience with programming languages such as Go, C, Java, Node.JS or Python (3-+ years preferred)
   Experience with Linux operating systems preferred
   Experience with Jenkins preferred
   Experience with containerization (Docker, Kubernetes) preferred
   Experience with AWS preferred
   Passion to develop high-quality and extraordinary solutions to complex distributed-computing problems
   Understanding of algorithms, data structures, and performance optimisation techniques for near real-time use cases
   Knowledge of relational databases (RDMS) and document based databases (DynamoDB) preferred
   Strong interpersonal and communication skills, flexibility, team spirit, quick learner
About us... GoDaddy is empowering everyday entrepreneurs around the world
by providing all of the help and tools to succeed online. GoDaddy is the place
people come to name their idea, build a professional website, attract
customers, sell their products and services, and manage their work. Our
mission is to give our customers the tools, insights and the people to
transform their ideas and personal initiative into success. To learn more
about the company, visit About Us (https://aboutus.godaddy.net/about-
us/overview/default.aspx.)
_GoDaddy is proud to be an equal opportunity employer. We will not
discriminate against any applicant or employee on the basis of age, race,
colour, creed, religion, sex, sexual orientation, gender, gender identity or
expression, national origin, citizenship, marital status or civil
partnership/union status, disability, pregnancy, genetic information or any
other basis prohibited by applicable country or local laws._
GoDaddy doesn’t accept unsolicited resumes from recruiters or employment
agencies.","https://www.joberty.rs/posao/software-engineer---emea,-remote/godaddy/8007"
Front-End Engineer ,"CSS3, HTML5, JavaScript, RESTFull, React",Beograd,Snap One,"Established in 2005 and based in Charlotte, North Carolina, Snap One is a
manufacturer and exclusive source of A/V, security, control, networking, and
remote management products for professional integrators. An industry leader in
the pro-install channel, Snap One helps integrators build their businesses by
providing a wide range of high-quality products, easily accessible through an
intuitive website and backed by award-winning service and support. With a vast
catalogue of today’s most popular brands, Snap One is the premier choice for
professional installers across the globe. With 28 pro stores in the US, Snap
One blends the benefits of ecommerce with the convenience of local stores.
Additional information about Snap One and its products can be found at
www.snapone.com.
The Front-End Engineer position reports to the Senior Engineering Manager and
is primarily responsible for front-end development on the OvrC web and mobile
applications. OvrC is a cloud-based IoT application utilizing the latest
versions of React, atomic-design-based component architecture, and ES6
development standards. This role will also directly contribute to the ongoing
development of a robust design system / component library for company-wide use
and implementation across SnapAV’s application portfolio. This is a dynamic
role expecting the candidate to be well versed in cutting-edge industry
techniques for front-end web and mobile development. This individual will work
closely with application server components and other members of the team.
 Specific Responsibiies
   Responsible for front-end software development solutions on the OvrC cloud-based platform 
   Collaborates with user experience, design, server and embedded software development teams 
   Provides input into emerging development technology options as new tools are explored 
   Conducts design and code reviews of developed software and unit tests 
   Participates in the production and non-production deployment process 
   Participates in daily stand-ups and other Scrum meetings 
   Conducts peer code reviews and provides valuable feedback 
   Helps lead and mentor junior and mid-level engineers 
   Assists in establishing processes and best-practices to elevate the entire team and product portfolio 
 Required Qualifications
   3+ years experience in front-end web-application development 
   Advanced knowledge and experience with HTML5, CSS3, and ES6 
   Experience with JavaScript task runners such as Webpack 
   Experience with responsive / progressive interface development 
   Experience working with RESTful APIs 
   Experience with React or Vue 
   Experience with source code management through Git 
   Knowledge of JavaScript DOM manipulation without libraries 
 Preferred Qualifications
   Experience with static-typing in ES6, using either TypeScript or Flow 
   Experience with unit testing , preferably with Jest 
   Experience with ES6-based mobile app development using Capacitor, Cordova, Ionic, or React Native 
   Experience with advanced UI animations, utilizing FLIP methodologies or libraries 
   Experience with the following: 
Webpack
Storybook
React Native
Websockets
Agile methodologies
Google Analytics
iOS and Android development
XCode",https://www.joberty.rs/posao/front-end-engineer-/snap-one/7997
